id,name,pop,gdp,gdppc
NAM,Namibia,2553.92887,23.0954857536602,9043.1202
NER,Niger,21233.84444,20.4834425008748,964.6601
NGA,Nigeria,202534.2304,1060.80590302559,5237.6623
NIC,Nicaragua,6085.213,30.1368786396436,4952.4772
NLD,Netherlands,17231.62408,818.056008436757,47474.1095
NOR,Norway,5312.583016,449.338995067087,84580.1362
NPL,Nepal,29717.587,81.0524540623706,2727.4238
NZL,New Zealand,4839.623031,171.013579064035,35336.1363
OMN,Oman,4725.038262,172.358228169828,36477.6365
PAK,Pakistan,219964.2906,1212.09050104008,5510.3967
PAN,Panama,3800.644,86.0357414834408,22637.1482
PER,Peru,31382.08441,386.31611714965,12310.0847
PHL,Philippines,112105.641,912.44345083592,8139.1395
POL,Poland,38370.79814,1053.47935681286,27455.237
PRI,Puerto Rico,3294.626,115.563267889806,35076.2933
PRK,D.P.R. of Korea,25381.085,40.5171381875945,1596.3517
PRT,Portugal,10221.47042,276.343587731246,27035.6002
PRY,Paraguay,7098.536379,66.2928649590039,9338.9484
PSE,State of Palestine,4615.079768,24.0342135058524,5207.7569
QAT,Qatar,2605.609691,400.649396628596,153764.1643
ROU,Romania,19190.64338,386.236496171876,20126.2922
RUS,Russian Federation,146476.3075,3613.41053924958,24668.9079
RWA,Rwanda,11915.77015,22.9889178054198,1929.2851
SAU,Saudi Arabia,33343.54306,1677.33860441624,50304.7502
SDN,Sudan (Former),41773.60677,141.177901813383,3379.5957
SEN,Senegal,16355.94685,42.8055475862381,2617.1244
SGP,Singapore,5995.991,410.139845598494,68402.3451
SLE,Sierra Leone,6312.212,10.6288162825364,1683.8497
SLV,El Salvador,6368.351,54.7563441051682,8598.1982
SRB,Serbia,7078.11,99.972058733547,14124.1177
STP,Sao Tome and Principe,204.454,0.762655230843,3730.2045
SUN,Former USSR,294473.9517,5753.76994772678,19539.1474
SVK,Slovakia,5409.18099,146.456465970571,27075.5344
